W1	W1
CMT_d60_GR_M_a65	CMT_GR_after
CMT_d60_GR_M_a66	CMT_GR_after
CMT_d60_GR_M_a67	CMT_GR_after
CMT_d60_GR_M_a68	CMT_GR_after
CMT_d60_GR_M_a69	CMT_GR_after
CMT_d60_GR_M_a70	CMT_GR_after
CMT_d60_GR_F_a71	CMT_GR_after
CMT_d60_GR_F_a72	CMT_GR_after
CMT_d60_GR_F_a73	CMT_GR_after
CMT_d60_GR_F_a74	CMT_GR_after
CMT_d60_GR_F_a75	CMT_GR_after
CMT_d60_GR_F_a76	CMT_GR_after
CMT_d60_GR_F_a77	CMT_GR_after
CMT_d60_GR_F_a78	CMT_GR_after
CMT_d60_GR_F_a79	CMT_GR_after
CMT_d60_GR_F_a80	CMT_GR_after
CMT_d60_LJ_M_a61	CMT_LJ_after
CMT_d60_LJ_M_a62	CMT_LJ_after
CMT_d60_LJ_M_a63	CMT_LJ_after
CMT_d60_LJ_M_a64	CMT_LJ_after
CMT_d60_LJ_M_a65	CMT_LJ_after
CMT_d60_LJ_M_a66	CMT_LJ_after
CMT_d60_LJ_M_a67	CMT_LJ_after
CMT_d60_LJ_M_a68	CMT_LJ_after
CMT_d60_LJ_M_a69	CMT_LJ_after
CMT_d60_LJ_M_a70	CMT_LJ_after
CMT_d60_LJ_F_a71	CMT_LJ_after
CMT_d60_LJ_F_a72	CMT_LJ_after
CMT_d60_LJ_F_a73	CMT_LJ_after
CMT_d60_LJ_F_a74	CMT_LJ_after
CMT_d60_LJ_F_a75	CMT_LJ_after
CMT_d60_LJ_F_a76	CMT_LJ_after
CMT_d60_LJ_F_a77	CMT_LJ_after
CMT_d60_LJ_F_a78	CMT_LJ_after
CMT_d60_LJ_F_a79	CMT_LJ_after
CMT_d60_LJ_F_a80	CMT_LJ_after
CMT_d-2_GR_M_a61	CMT_GR_before
CMT_d-2_GR_M_a62	CMT_GR_before
CMT_d-2_GR_M_a63	CMT_GR_before
CMT_d-2_GR_M_a64	CMT_GR_before
CMT_d-2_GR_M_a65	CMT_GR_before
CMT_d-2_GR_M_a66	CMT_GR_before
CMT_d-2_GR_M_a67	CMT_GR_before
CMT_d-2_GR_M_a68	CMT_GR_before
CMT_d-2_GR_M_a69	CMT_GR_before
CMT_d-2_GR_M_a70	CMT_GR_before
CMT_d-2_GR_F_a71	CMT_GR_before
CMT_d-2_GR_F_a72	CMT_GR_before
CMT_d-2_GR_F_a73	CMT_GR_before
CMT_d-2_GR_F_a74	CMT_GR_before
CMT_d-2_GR_F_a75	CMT_GR_before
CMT_d-2_GR_F_a76	CMT_GR_before
CMT_d-2_GR_F_a77	CMT_GR_before
CMT_d-2_GR_F_a78	CMT_GR_before
CMT_d-2_GR_F_a79	CMT_GR_before
CMT_d-2_GR_F_a80	CMT_GR_before
CMT_d-2_LJ_M_a61	CMT_LJ_before
CMT_d-2_LJ_M_a62	CMT_LJ_before
CMT_d-2_LJ_M_a63	CMT_LJ_before
CMT_d-2_LJ_M_a64	CMT_LJ_before
CMT_d-2_LJ_M_a65	CMT_LJ_before
CMT_d-2_LJ_M_a66	CMT_LJ_before
CMT_d-2_LJ_M_a67	CMT_LJ_before
CMT_d-2_LJ_M_a68	CMT_LJ_before
CMT_d-2_LJ_M_a69	CMT_LJ_before
CMT_d-2_LJ_M_a70	CMT_LJ_before
CMT_d-2_LJ_F_a71	CMT_LJ_before
CMT_d-2_LJ_F_a72	CMT_LJ_before
CMT_d-2_LJ_F_a73	CMT_LJ_before
CMT_d-2_LJ_F_a74	CMT_LJ_before
CMT_d-2_LJ_F_a75	CMT_LJ_before
CMT_d-2_LJ_F_a76	CMT_LJ_before
CMT_d-2_LJ_F_a77	CMT_LJ_before
CMT_d-2_LJ_F_a78	CMT_LJ_before
CMT_d-2_LJ_F_a79	CMT_LJ_before
CMT_d-2_LJ_F_a80	CMT_LJ_before
CMT_d1_GR_M_a61	CMT_GR_before
CMT_d1_GR_M_a62	CMT_GR_before
CMT_d1_GR_M_a63	CMT_GR_before
CMT_d1_GR_M_a64	CMT_GR_before
CMT_d1_GR_M_a65	CMT_GR_before
CMT_d1_GR_M_a66	CMT_GR_before
CMT_d1_GR_M_a67	CMT_GR_before
CMT_d1_GR_M_a68	CMT_GR_before
CMT_d1_GR_M_a69	CMT_GR_before
CMT_d1_GR_M_a70	CMT_GR_before
CMT_d1_GR_F_a71	CMT_GR_before
CMT_d1_GR_F_a72	CMT_GR_before
CMT_d1_GR_F_a73	CMT_GR_before
CMT_d1_GR_F_a74	CMT_GR_before
CMT_d1_GR_F_a75	CMT_GR_before
CMT_d1_GR_F_a76	CMT_GR_before
CMT_d1_GR_F_a77	CMT_GR_before
CMT_d1_GR_F_a78	CMT_GR_before
CMT_d1_GR_F_a79	CMT_GR_before
CMT_d1_GR_F_a80	CMT_GR_before
CMT_d1_LJ_M_a61	CMT_LJ_before
CMT_d1_LJ_M_a62	CMT_LJ_before
CMT_d1_LJ_M_a63	CMT_LJ_before
CMT_d1_LJ_M_a64	CMT_LJ_before
CMT_d1_LJ_M_a65	CMT_LJ_before
CMT_d1_LJ_M_a66	CMT_LJ_before
CMT_d1_LJ_M_a67	CMT_LJ_before
CMT_d1_LJ_M_a68	CMT_LJ_before
CMT_d1_LJ_M_a69	CMT_LJ_before
CMT_d1_LJ_M_a70	CMT_LJ_before
CMT_d1_LJ_F_a71	CMT_LJ_before
CMT_d1_LJ_F_a72	CMT_LJ_before
CMT_d1_LJ_F_a73	CMT_LJ_before
CMT_d1_LJ_F_a74	CMT_LJ_before
CMT_d1_LJ_F_a75	CMT_LJ_before
CMT_d1_LJ_F_a76	CMT_LJ_before
CMT_d1_LJ_F_a77	CMT_LJ_before
CMT_d1_LJ_F_a78	CMT_LJ_before
CMT_d1_LJ_F_a79	CMT_LJ_before
CMT_d1_LJ_F_a80	CMT_LJ_before
CMT_d3_GR_M_a61	CMT_GR_during
CMT_d3_GR_M_a62	CMT_GR_during
CMT_d3_GR_M_a63	CMT_GR_during
CMT_d3_GR_M_a64	CMT_GR_during
CMT_d3_GR_M_a65	CMT_GR_during
CMT_d3_GR_M_a66	CMT_GR_during
CMT_d3_GR_M_a67	CMT_GR_during
CMT_d3_GR_M_a68	CMT_GR_during
CMT_d3_GR_M_a69	CMT_GR_during
CMT_d3_GR_M_a70	CMT_GR_during
CMT_d3_GR_F_a71	CMT_GR_during
CMT_d3_GR_F_a72	CMT_GR_during
CMT_d3_GR_F_a73	CMT_GR_during
CMT_d3_GR_F_a74	CMT_GR_during
CMT_d3_GR_F_a75	CMT_GR_during
CMT_d3_GR_F_a76	CMT_GR_during
CMT_d3_GR_F_a77	CMT_GR_during
CMT_d3_GR_F_a78	CMT_GR_during
CMT_d3_GR_F_a79	CMT_GR_during
CMT_d3_GR_F_a80	CMT_GR_during
